english,banjara,pos,ipa,telugu,hindi,source
abide,vatema rer,v.,/vātēmā rēr/,వాతేమా రేర్,वातेमा रेर,Banjara_english.docx
ability,jor,n.,/jor/,జోర్,जोर,Banjara_english.docx
"""able to see",n.,"in the way it is seen""",dekaju,/dēkaju/,దేకాజు,Banjara_english.docx
above,uncam,n.,/uncam/,ఉంచమ్,उंचम,Banjara_english.docx
absent,nakal,adj.,/nākāl/,నాకాల్,नाकाल,Banjara_english.docx
absorb,khincago,v.,/khiñcāgo/,ఖించాగో,खिंचागो,Banjara_english.docx
abstract concept,malam chamjako,adj.,/mālam chamjakō/,మాలమ్ చమ్జకో,मालम छमजको,Banjara_english.docx
acacia tree,bommolir jhad,n.,/bommōlir jhād/,బొమ్మోలిర్ ఝాడ్,बोम्मोलिर झाड,Banjara_english.docx
acceptance,maner,n.,/maner/,మనేర్,मनेर,Banjara_english.docx
accession,bhalge / svikar,n.,/bhalge/ /svīkār/,భల్గే / స్వీకార్,भलगे / स्वीकार,Banjara_english.docx
accident,thakkar,n.,/thakkar/,తక్కర్,थक्कर,Banjara_english.docx
accidental,acanak,adj.,/acānak/,అచానక్,अचानक,Banjara_english.docx
accidentally,acanak,adv.,/acānak/,అచానక్,अचानक,Banjara_english.docx
accost,bol,v.,/bol/,బోల్,बोल,Banjara_english.docx
account,khata,n.,/khātā/,ఖాతా,खाता,Banjara_english.docx
accusing someone,badanam pader,v.,/badanām pādēr/,బదనామ్ పాదేర్,बदनाम पादेर,Banjara_english.docx
acquiring,pap patker,v.,/pāp patker/,పాప్ పత్కేర్,पाप पतकेर,Banjara_english.docx
acre,ekar,n.,/ekar/,ఎకర్,एकर,Banjara_english.docx
acrid,kudi,n.,/kudi/,కుది,कुदि,Banjara_english.docx
across,ado,adv.,/ado/,అదో,अदो,Banjara_english.docx
active,champkesi,adj.,/champkēsi/,ఛమ్ప్కేసి,छम्पकेसि,Banjara_english.docx
actual,asli,n.,/asli/,అస్లి,अस्लि,Banjara_english.docx
adamant,nasaldo,adj.,/nasaldo/,నసల్దో,नसलदो,Banjara_english.docx
adjacent,dhamyi,adj.,/dhamyi/,ధమ్యి,धम्यि,Banjara_english.docx
adopt,goden lelam,v.,/gōden lēlam/,గోదేన్ లేలమ్,गोदेन लेलम,Banjara_english.docx
adoption,god,n.,/god/,గోద్,गोद,Banjara_english.docx
adoptive mother,palijako yadi,n.,/pālījakō yādi/,పాలీజకో యాది,पालीजको यादि,Banjara_english.docx
advance,bayana,n.,/bayānā/,బయానా,बयाना,Banjara_english.docx
advise,gyan kam,v.,/gyan kam/,గ్యాన్ కమ్,ग्यान कम,Banjara_english.docx
advocate,bayiskarero,v.,/bayiskarēro/,బయిస్కరేరో,बयिस्करेरो,Banjara_english.docx
aeroplane,havayi,n.,/havāyi/,హవాయి,हवायि,Banjara_english.docx
affectionate child,humsser beta,n.,/hūmsser bētā/,హూమ్స్సేర్ బేటా,हूम्स्सेर बेटा,Banjara_english.docx
affectionate words,miti vate,n.,/mīti vātē/,మీతి వాతే,मीति वाते,Banjara_english.docx
afraid,camak,v.,/camak/,చమక్,चमक,Banjara_english.docx
africa continent,aphrika khandam,n.,/āphrikā khandam/,ఆఫ్రికా ఖండమ్,आफ्रिका खंडम,Banjara_english.docx
after,paccer,adj.,/paccer/,పచ్చేర్,पच्चेर,Banjara_english.docx
after coming,an,adj.,/an/,అన్,अन,Banjara_english.docx
after estimate,andajo dek,n.,/andājo dēk/,అందాజో దేక్,अंदाजो देक,Banjara_english.docx
after telling,kan,adv.,/kan/,కన్,कन,Banjara_english.docx
after throwing,khyancan,v.,/khyāncan/,ఖ్యాన్చన్,ख्यानचन,Banjara_english.docx
afternoon,dopper,n.,/dopper/,దొప్పేర్,दोप्पेर,Banjara_english.docx
against,angam / samnak,prep.,/āngam/ /samnāk/,ఆంగమ్ / సమ్నాక్,आंगम / सम्नाक,Banjara_english.docx
age,umar,n.,/umar/,ఉమర్,उमर,Banjara_english.docx
agree,manlam,v.,/mānlam/,మాన్లమ్,मानलम,Banjara_english.docx
agriculture,yesami,n.,/yesāmi/,యెసామి,येसामि,Banjara_english.docx
alarm,dhamki,n.,/dhamki/,ధమ్కి,धम्कि,Banjara_english.docx
alcohol,sindi,n.,/sindi/,సింది,सिन्दि,Banjara_english.docx
alcoholic,piyot / rimma,n.,/piyōt/ /rimmā/,పియోట్ / రిమ్మా,पियोट / रिम्मा,Banjara_english.docx
align,bhalge / hubad,v.,/bhalge/ /hubad/,భల్గే / హుబాద్,भलगे / हुबाद,Banjara_english.docx
alike,kub ac,adv.,/kūb āc/,కూబ్ ఆచ్,कूब आच,Banjara_english.docx
all,se,pron.,/se/,సే,से,Banjara_english.docx
alone,ekloj,n.,/ēklōj/,ఏక్లోజ్,एक्लोज,Banjara_english.docx
aloof,ekloj,adv.,/ēkloj/,ఏక్లోజ్,एक्लोज,Banjara_english.docx
altogether,se,adv.,/se/,సే,से,Banjara_english.docx
altruistic,imani,adj.,/imani/,ఇమాని,इमानि,Banjara_english.docx
always,kanna,pron.,/kanna/,కన్నా,कन्ना,Banjara_english.docx
amnesia,bhuljayer / bhuler,n.,/bhuljāyēr/ /bhuler/,భుల్జాయేర్ / భులేర్,भुलजायेर / भुलेर,Banjara_english.docx
among the stones,bhatama,adv.,/bhātāmā/,భాతామా,भातामा,Banjara_english.docx
amulet,mandolya,n.,/mandolya/,మందోల్య,मन्दोल्य,Banjara_english.docx
analyse,hamsa pader,v.,/hamsa pader/,హమ్స పాదేర్,हम्स पादेर,Banjara_english.docx
ancestral,tantya,adj.,/tantya/,తంత్య,तन्त्य,Banjara_english.docx
and,ujji / vajji,conj.,/ujji/ /vajji/,ఉజ్జి / వజ్జి,उज्जि / वज्जि,Banjara_english.docx
anger,ris,n.,/ris/,రిస్,रिस,Banjara_english.docx
anklets,kase / ghugra,n.,/kase/ /ghugrā/,కసే / ఘుగ్రా,कसे / घुग्रा,Banjara_english.docx
announce,elankar,v.,/elankar/,ఎలంకార్,एलंकार,Banjara_english.docx
annual,barimas,n.,/bārimās/,బారిమాస్,बारिमास,Banjara_english.docx
answer,javab,n.,/javab/,జవాబ్,जवाब,Banjara_english.docx
ant,kidi,n.,/kīdi/,కీది,कीदि,Banjara_english.docx
antelope,citili,n.,/citili/,చితిలి,चितिलि,Banjara_english.docx
anterior,dharagidiya,adj.,/dharagidiyā/,ధరగిదియా,धरगिदिया,Banjara_english.docx
anybody,ketivatoyi,pron.,/kētivatōyi/,కేతివతోయి,केतिवतोयि,Banjara_english.docx
anyhow,kuyimti / pakka,adv.,/kuyimti/ /pakka/,కుయిమ్తి / పక్క,कुयिमति / पक्क,Banjara_english.docx
anyone,kuniti / keniti,pron.,/kuniti/ /keniti/,కునితి / కెనితి,कुनिति / केनिति,Banjara_english.docx
anything,kunasiti,adv.,/kunasiti/,కునసితి,कुनसिति,Banjara_english.docx
anytime,kannayitoyi,adv.,/kannāyitōyi/,కన్నాయితోయి,कन्नायितोयि,Banjara_english.docx
apology,maphikar,n.,/maphikar/,మాఫికార్,माफिकार,Banjara_english.docx
apple,sepu,n.,/sēpu/,సేపు,सेपु,Banjara_english.docx
application,rakad,n.,/rakād/,రకాద్,रकाद,Banjara_english.docx
apply,cavajatra / purovaju,v.,/cāvajatra/ /purōvaju/,చావజత్ర / పురోవజు,चावजत्र / पुरोवजु,Banjara_english.docx
appoint,rakad,v.,/rakād/,రకాద్,रकाद,Banjara_english.docx
appreciate,tariph,v.,/tāriph/,తారిఫ్,तारिफ,Banjara_english.docx
approach,galama,n.,/galama/,గలమ,गलम,Banjara_english.docx
appropriate,cavajatra / purvajatra,adj.,/cāvajatrā/ /pūrvajatrā/,చావజత్రా / పూర్వజత్రా,चावजत्रा / पूर्वजत्रा,Banjara_english.docx
approximately,dhaim dhaimsi,adv.,/dhaim dhaimsi/,ధైమ్ ధైమ్సి,धैम धैम्सि,Banjara_english.docx
apricot,jambu,n.,/jambu/,జంబు,जम्बु,Banjara_english.docx
apropos,velanam,adv.,/vēlānam/,వేలానమ్,वेलानम,Banjara_english.docx
aquatic,pani,n.,/pani/,పాని,पानि,Banjara_english.docx
archaic,pyanar,adj.,/pyānār/,ప్యానార్,प्यानार,Banjara_english.docx
architect,bhandevalo,n.,/bhāndēvālō/,భాందేవాలో,भान्देवालो,Banjara_english.docx
aristocrat,dhariya,n.,/dhariya/,ధరియ,धरिया,Banjara_english.docx
arm,khavo,n.,/khavo/,ఖావో,खावो,Banjara_english.docx
armpit,kanko,n.,/kānkō/,కాంకో,कान्को,Banjara_english.docx
army,sipayi,n.,/sipāyi/,సిపాయి,सिपायि,Banjara_english.docx
arouse,jagavo,v.,/jagāvo/,జగావో,जगावो,Banjara_english.docx
arrange,sadar / savalat,v.,/sadar/ /savalat/,సదర్ / సవలత్,सदर / सवलत,Banjara_english.docx
array,sodar,v.,/sodar/,సోదర్,सोदर,Banjara_english.docx
arrest,giraphtar,n.,/giraphtar/,గిరఫ్తార్,गिरफतार,Banjara_english.docx
arrival,bhalge,n.,/bhalge/,భల్గే,भलगे,Banjara_english.docx
"""arrive; come""",ayer,v.,/ayer/,అయేర్,अयेर,Banjara_english.docx
artist,citrakar,n.,/citrakar/,చిత్రకార్,चित्रकार,Banjara_english.docx
as,ornayi,adj.,/ōrnayi/,ఓర్నయి,ओर्नयि,Banjara_english.docx
as lengthy,lamboso,adv.,/lambōsō/,లంబోసో,लम्बोसो,Banjara_english.docx
as per law,nayameti,adv.,/nāyamēti/,నాయమేతి,नायमेति,Banjara_english.docx
ash,rak,n.,/rak/,రక్,रक,Banjara_english.docx
asia continent,asiya khandam,n.,/āsiyā khandam/,ఆసియా ఖండమ్,आसिया खंडम,Banjara_english.docx
ask,dhap,v.,/dhap/,ధాప్,धाप,Banjara_english.docx
