english,banjara
i doing/doing work kaam,Mai kaam karrochu
i doing/doing work daliya,Mai daliya karrochu
i doing/doing work taanda,Mai taanda karrochu
i doing/doing work dukaan,Mai dukaan karrochu
i doing/doing work chora,Mai chora karrochu
i doing/doing work ruukh,Mai ruukh karrochu
i going kaam,Mai kaamena jaan
i going daliya,Mai daliyaana jaan
i going taanda,Mai taandaana jaan
i going dukaan,Mai dukaanena jaan
i going chora,Mai choraana jaan
i going ruukh,Mai ruukhena jaan
i eating kaam,Mai kaam khan
i eating daliya,Mai daliya khan
i eating taanda,Mai taanda khan
i eating dukaan,Mai dukaan khan
i eating chora,Mai chora khan
i eating ruukh,Mai ruukh khan
i giving kaam,Mai kaam den
i giving daliya,Mai daliya den
i giving taanda,Mai taanda den
i giving dukaan,Mai dukaan den
i giving chora,Mai chora den
i giving ruukh,Mai ruukh den
we doing/doing work kaam,Aapan kaam karan
we doing/doing work daliya,Aapan daliya karan
we doing/doing work taanda,Aapan taanda karan
we doing/doing work dukaan,Aapan dukaan karan
we doing/doing work chora,Aapan chora karan
we doing/doing work ruukh,Aapan ruukh karan
we going kaam,Aapan kaamena jaan
we going daliya,Aapan daliyaana jaan
we going taanda,Aapan taandaana jaan
we going dukaan,Aapan dukaanena jaan
we going chora,Aapan choraana jaan
we going ruukh,Aapan ruukhena jaan
we eating kaam,Aapan kaam khan
we eating daliya,Aapan daliya khan
we eating taanda,Aapan taanda khan
we eating dukaan,Aapan dukaan khan
we eating chora,Aapan chora khan
we eating ruukh,Aapan ruukh khan
we giving kaam,Aapan kaam den
we giving daliya,Aapan daliya den
we giving taanda,Aapan taanda den
we giving dukaan,Aapan dukaan den
we giving chora,Aapan chora den
we giving ruukh,Aapan ruukh den
you doing/doing work kaam,Tu kaam karan
you doing/doing work daliya,Tu daliya karan
you doing/doing work taanda,Tu taanda karan
you doing/doing work dukaan,Tu dukaan karan
you doing/doing work chora,Tu chora karan
you doing/doing work ruukh,Tu ruukh karan
you going kaam,Tu kaamena jaan
you going daliya,Tu daliyaana jaan
you going taanda,Tu taandaana jaan
you going dukaan,Tu dukaanena jaan
you going chora,Tu choraana jaan
you going ruukh,Tu ruukhena jaan
you eating kaam,Tu kaam khan
you eating daliya,Tu daliya khan
you eating taanda,Tu taanda khan
you eating dukaan,Tu dukaan khan
you eating chora,Tu chora khan
you eating ruukh,Tu ruukh khan
you giving kaam,Tu kaam den
you giving daliya,Tu daliya den
you giving taanda,Tu taanda den
you giving dukaan,Tu dukaan den
you giving chora,Tu chora den
you giving ruukh,Tu ruukh den
he doing/doing work kaam,O kaam karan
he doing/doing work daliya,O daliya karan
he doing/doing work taanda,O taanda karan
he doing/doing work dukaan,O dukaan karan
he doing/doing work chora,O chora karan
he doing/doing work ruukh,O ruukh karan
he going kaam,O kaamena jaan
he going daliya,O daliyaana jaan
he going taanda,O taandaana jaan
he going dukaan,O dukaanena jaan
he going chora,O choraana jaan
he going ruukh,O ruukhena jaan
he eating kaam,O kaam khan
he eating daliya,O daliya khan
he eating taanda,O taanda khan
he eating dukaan,O dukaan khan
he eating chora,O chora khan
he eating ruukh,O ruukh khan
he giving kaam,O kaam den
he giving daliya,O daliya den
he giving taanda,O taanda den
he giving dukaan,O dukaan den
he giving chora,O chora den
he giving ruukh,O ruukh den
they doing/doing work kaam,Ve kaam karan
they doing/doing work daliya,Ve daliya karan
they doing/doing work taanda,Ve taanda karan
they doing/doing work dukaan,Ve dukaan karan
they doing/doing work chora,Ve chora karan
they doing/doing work ruukh,Ve ruukh karan
they going kaam,Ve kaamena jaan
they going daliya,Ve daliyaana jaan
they going taanda,Ve taandaana jaan
they going dukaan,Ve dukaanena jaan
they going chora,Ve choraana jaan
they going ruukh,Ve ruukhena jaan
they eating kaam,Ve kaam khan
they eating daliya,Ve daliya khan
they eating taanda,Ve taanda khan
they eating dukaan,Ve dukaan khan
they eating chora,Ve chora khan
they eating ruukh,Ve ruukh khan
they giving kaam,Ve kaam den
they giving daliya,Ve daliya den
they giving taanda,Ve taanda den
they giving dukaan,Ve dukaan den
they giving chora,Ve chora den
they giving ruukh,Ve ruukh den
